image_id,caption
100000.jpg,"the image features a large billboard for "" abacadabra, "" promoting water conservation and wellness."
100001.jpg,"a hand holds a watch, with a knife and knife rest on a snowy beach, alongside a knife and knife holder."
100002.jpg,"a rustic building features a storefront with posters, a bicycle, and colorful posters on the walls."
100003.jpg,"a red asus laptop is displayed on a table, with two other laptops in the background."
100004.jpg,"a decorative picture frame holds a cross - stitch framed artwork titled "" blasphemmy "" with a humorous message."
100005.jpg,"a tall, modern glass skyscraper with a distinctive angular design, featuring a prominent sign at the base."
100006.jpg,"a convenience store named "" barbasa "" features colorful products and displays various products outside its entrance."
100007.jpg,"several small aircraft are parked on a runway, with a clear sky and clouds in the background."
100008.jpg,"a row of colorful bottles with labels, showcasing different types of beer, displayed on a shelf."
100009.jpg,"the image shows a colorful book titled "" muse "" by eric stimmer, featuring vibrant cover art with playful text."
100010.jpg,"a vintage airplane with a blue fuselage and propeller, parked on a runway at sunset."
100011.jpg,"a black wine bottle labeled "" pinot grigio cebare "" with a circular design and the name "" ilustre "" prominently displayed."
100012.jpg,"the image features an advertisement for an iphone, highlighting its features and application icons on its screen."
100013.jpg,"a deck of cards with red and white symbols, accompanied by a red poker chip and a red dice on a green background."
100014.jpg,"a vintage magazine cover features several books, including "" the book of love "" and "" the hundred year love, "" with decorative text."
100015.jpg,"a cluttered bookshelf displays various books, including titles on history, literature, and a large chocolate pot."
100016.jpg,"the image features multiple stop signs, displaying the word "" stop "" prominently in red, with additional signs indicating no vehicles or stop."
100017.jpg,"a colorful swatch watch features a truck graphic, text, and the words "" loveswitch, "" "" slutch, "" and "" fire"
100018.jpg,"a mobile phone displaying a time and date, with a circular clock showing 12 : 25 and a blue sky background."
100019.jpg,"a samsung laptop is displayed, featuring a colorful screen with various bubbles and a blue background."
100020.jpg,"a laptop screen displays a blue message stating "" don ' t eat that "" with a contact number displayed."
100021.jpg,"a yellow ford van is parked, featuring a taxi sign and visible vehicle registration plate."
100022.jpg,"a player in a yellow sports uniform swings a baseball bat, while a catcher in maroon gear crouches behind home plate."
100023.jpg,"a display of various wine bottles, including pink and white wines, showcasing different labels and colors."
100024.jpg,"a triangular warning sign indicates a steep incline path, with a steep rock formation in the background."
100025.jpg,"a military aircraft, camouflaged with a lion logo, is taxiing on a runway surrounded by green grass and trees."
100026.jpg,"a close - up of a laptop keyboard shows the "" crack "" logo and arrows pointing upward."
100027.jpg,"a wooden mobile phone case with a circular cutout, featuring a wooden design and buttons on the side."
100028.jpg,"a man stands with crossed arms, looking thoughtfully towards the roman colossus, with a large banner in the background."
100029.jpg,"a television displays a football match, while a player dribbles a ball on the television stand."
100030.jpg,"a man with short hair is peeking through a window, surrounded by promotional materials on a table."
100031.jpg,"the image shows a television screen displaying a scene from a film titled "" dr. howard, "" with a person in a white shirt holding a bag."
100032.jpg,"a smiling woman with curly hair holds a colorful cartoon character, showcasing a playful pose."
100033.jpg,"the image shows a medical device with a digital display, connected to a medical device, likely a medical device or monitor."
100034.jpg,"a yellow taxi with a police light on top, parked on a road surrounded by trees."
100035.jpg,"a red stop sign is prominently displayed, with wind turbines in the background against a clear blue sky."
100036.jpg,"a brown box labeled "" love shock "" with a cartoonish character and a message about happiness inside."
100037.jpg,"a person stands in front of a large screen displaying "" code for a - hot seou, "" with a bookcase in the background."
100038.jpg,"a busy city street with various vehicles, including taxis, cars, and tall skyscrapers in the background."
100039.jpg,"the image features a page from a book titled "" monuments of the nations "" by mason garre, published in london in 1678."
100040.jpg,"a sleek, rectangular perfume bottle with a wooden cap, featuring a light golden liquid and a sleek design."
100041.jpg,"a black crock - pot slow cooker sits on a countertop, surrounded by kitchen appliances and utensils."
100042.jpg,"two energy drink cans are displayed : one is blue edition and one is burn, both featuring a fiery design."
100043.jpg,"two beakers are shown : one containing a green liquid and the other orange liquid, both labeled with measurement markings."
100044.jpg,"a large passenger ship named "" viking line "" is docked in the harbor, showcasing its distinctive red and white design."
100045.jpg,"the image shows various bottles of apple cider, labeled as "" apple cider, "" showcasing a rich, fruity drink."
100046.jpg,"two boys in baseball uniforms are on a dirt field, one wearing a helmet and the other in a jersey."
100047.jpg,"a computer monitor displays a virtual environment with a grid pattern and various icons, including a "" y "" icon."
100048.jpg,"a person holds a tablet, presenting a presentation on a large screen, with a colorful background and a whiteboard."
100049.jpg,"a black book cover features the text "" i ' m no rocket surgeon "" in gold lettering, emphasizing a motivational message."
100050.jpg,"a sleek, elegant perfume bottle labeled "" shalimar, "" featuring a golden liquid and a blue cap, set against a light background."
100051.jpg,"a black mug with mathematical equations and equations written on it, featuring a simple design and a handle."
100052.jpg,"the image shows a digital scoreboard displaying the time as 0 : 58, with a light - up score of 5. 6."
100053.jpg,"poster detailing the relationship between mahler ' s method and his influence, with data points and diagrams related to the model."
100054.jpg,"a young man in a red baseball uniform stands on the field, wearing a cap and holding a glove."
100055.jpg,"a brick building features a large "" sam ' s "" sign, showcasing a restaurant name prominently displayed."
100056.jpg,"three books are stacked, featuring titles on law, rights, and cyberlaw, highlighting legal themes and themes of law and cyber - law."
100057.jpg,"the image features three people, including a woman and a boy, in a newspaper article titled "" today. """
100058.jpg,"the image shows various usb flash drive containers with cartoonish characters, organized on a shelf."
100059.jpg,"a white hockey jersey featuring the toronto maples logo and the number 9, with blue accents on the sleeves."
100060.jpg,"a bottle of life - like drink sits on a table, illuminated by soft light from a nearby lamp."
100061.jpg,"a decorative box with blue flowers and a dove - like bird, labeled "" happy valentine ' s day. """
100062.jpg,"a row of vintage books titled "" journal of a miniature collector, "" featuring various colors and titles, neatly arranged on a shelf."
100063.jpg,"a group of six people stands on a stage, wearing colorful clothing and holding boxes, with promotional materials nearby."
100064.jpg,"a red waste container with a humorous label, labeled "" operation blinit "" and promoting a waste reduction initiative."
100065.jpg,"a narrow aisle in a library features tall bookcases filled with colorful books, creating a cozy reading area."
100066.jpg,"the image shows a fast food counter with a sign reading "" salads, buns, and sushi. "" it features a pizza section and a"
100067.jpg,"an open book displays text from a historical narrative, featuring a passage about a police officer and a woman ' s experience."
